DATASET_TITLE,"Domestic Energy Consumption, 2005",,,,,,,,FROM,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005
"E12000002","North West",,,"E06000049","Cheshire East","E07000017","Macclesfield",,,1730724,276119,79347,1375258,56963,4847,8797,9020,59353,23171
"E12000002","North West",,,"E06000050","Cheshire West and Chester","E07000013","Chester",,,1118139,204449,46249,867441,48900,4181,5320,8693,45403,19105
"E12000002","North West",,,"E06000050","Cheshire West and Chester","E07000016","Ellesmere Port & Neston",,,761998,137136,10957,613905,33451,4100,1358,8068,33361,18402
"E12000002","North West",,,"E06000050","Cheshire West and Chester","E07000018","Vale Royal",,,1184664,219112,30164,935388,49372,4438,3579,8428,47041,19885
"E12000005","West Midlands",,,"E06000051","Shropshire","E07000182","Bridgnorth",,,388400,80012,38058,270330,16321,4902,4329,8791,14364,18820
"E12000005","West Midlands",,,"E06000051","Shropshire","E07000183","North Shropshire",,,402993,94289,35921,272783,20261,4654,3880,9258,14536,18766
"E12000005","West Midlands",,,"E06000051","Shropshire","E07000184","Oswestry",,,283670,59660,24224,199787,14161,4213,2603,9306,11192,17851
"E12000005","West Midlands",,,"E06000051","Shropshire","E07000185","Shrewsbury and Atcham",,,767597,140792,57307,569498,32605,4318,6794,8435,32637,17449
"E12000005","West Midlands",,,"E06000051","Shropshire","E07000186","South Shropshire",,,246961,62116,50253,134592,13164,4719,5421,9270,7416,18149
"E12000006","East of England",,,"E06000056","Central Bedfordshire","E07000001","Mid Bedfordshire",,,1081756,133424,141719,806613,30653,4353,23063,6145,43672,18470
"E12000006","East of England",,,"E06000056","Central Bedfordshire","E07000003","South Bedfordshire",,,1071908,134112,104262,833535,31511,4256,17823,5850,43475,19173
"E12000009","South West",,,"E06000052","Cornwall","E07000019","Caradon",,,526259,123069,96555,306635,27761,4433,11172,8643,19527,15703
"E12000009","South West",,,"E06000052","Cornwall","E07000020","Carrick",,,570802,127316,117120,326366,29214,4358,13995,8369,20342,16044
"E12000009","South West",,,"E06000052","Cornwall","E07000021","Kerrier",,,521420,136418,114940,270061,30073,4536,13399,8578,18093,14926
"E12000009","South West",,,"E06000052","Cornwall","E07000022","North Cornwall",,,497366,119222,129653,248491,26756,4456,14825,8746,14781,16812
"E12000009","South West",,,"E06000052","Cornwall","E07000023","Penwith",,,419311,92514,79399,247397,22901,4040,10228,7763,16680,14832
"E12000009","South West",,,"E06000052","Cornwall","E07000024","Restormel",,,640839,137167,127708,375965,30140,4551,14396,8871,22281,16874
"E12000009","South West",,,"E06000054","Wiltshire","E07000230","Kennet",,,486063,132707,94872,258483,26676,4975,9369,10126,13231,19536
"E12000009","South West",,,"E06000054","Wiltshire","E07000231","North Wiltshire",,,998222,227332,71525,699365,48254,4711,8104,8826,37973,18417
"E12000009","South West",,,"E06000054","Wiltshire","E07000232","Salisbury",,,831024,188275,83975,558774,40524,4646,9276,9053,31110,17961
"E12000009","South West",,,"E06000054","Wiltshire","E07000233","West Wiltshire",,,1016928,209901,76004,731023,47072,4459,8790,8647,40202,18184
