DATASET_TITLE,"Domestic Energy Consumption, 2005",,,,,,,,FROM,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005
AREA_TYPE,Former Local Authority,,,,,,,,TO,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005
GEO_HIERARCHY,2001 Statistical Geography Hierarchy,,,,,,,,HEADING,Total Consumption of Domestic Electricity and Gas,Consumption of Ordinary Domestic Electricity,Consumption of Economy 7 Domestic Electricity,Consumption of Domestic Gas,Number of Ordinary Domestic Electricity meters,Average Consumption of Ordinary Domestic Electricity,Number of Economy 7 Domestic Electricity meters,Average Consumption of Economy 7 Domestic Electricity,Number of Domestic Gas meters,Average Consumption of Domestic Gas
,,,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Average,Count,Average,Count,Average
,,,,,,,,,STATISTICAL_UNIT,Megawatt Hours,Megawatt Hours,Megawatt Hours,Megawatt Hours,Meter Points,Kilowatt Hours,Meter Points,Kilowatt Hours,Meter Points,Kilowatt Hours
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,FLA_CODE,FLA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"E12000001","North East",,,"E06000047","Durham","E07000054","Chester-le-Street",,,559296,84311,7207,467779,23423,3599,1060,6799,22963,20371
"E12000001","North East",,,"E06000047","Durham","E07000055","Derwentside",,,939669,138100,17892,783677,38224,3613,2358,7588,36175,21663
"E12000001","North East",,,"E06000047","Durham","E07000056","Durham",,,883669,130921,14087,738661,36054,3631,1904,7399,34820,21214
"E12000001","North East",,,"E06000047","Durham","E07000057","Easington",,,907927,137878,14154,755895,40439,3410,1767,8010,37398,20212
"E12000001","North East",,,"E06000047","Durham","E07000058","Sedgefield",,,895654,136499,11764,747390,38847,3514,1668,7053,37936,19701
"E12000001","North East",,,"E06000047","Durham","E07000059","Teesdale",,,189954,40597,18148,131209,9763,4158,2341,7752,5876,22330
"E12000001","North East",,,"E06000047","Durham","E07000060","Wear Valley",,,629436,100611,12467,516359,27956,3599,1681,7416,25350,20369
"E12000001","North East",,,"E06000048","Northumberland","E07000157","Alnwick",,,276715,53687,24182,198846,13636,3937,2857,8464,9428,21091
"E12000001","North East",,,"E06000048","Northumberland","E07000158","Berwick-upon-Tweed",,,202671,40899,42315,119456,10299,3971,5549,7626,6139,19459
"E12000001","North East",,,"E06000048","Northumberland","E07000159","Blyth Valley",,,783590,126491,11405,645694,34597,3656,1903,5993,34474,18730
"E12000001","North East",,,"E06000048","Northumberland","E07000160","Castle Morpeth",,,522631,90914,15455,416261,20126,4517,1963,7873,16640,25016
"E12000001","North East",,,"E06000048","Northumberland","E07000161","Tynedale",,,504680,102841,31587,370252,23379,4399,4017,7863,16373,22614
"E12000001","North East",,,"E06000048","Northumberland","E07000162","Wansbeck",,,604157,96345,6611,501201,27492,3504,999,6618,25844,19393
"E12000002","North West",,,"E06000049","Cheshire East","E07000014","Congleton",,,928835,153131,25167,750537,34748,4407,3232,7787,35754,20992
"E12000002","North West",,,"E06000049","Cheshire East","E07000015","Crewe and Nantwich",,,970757,190903,47017,732837,44803,4261,5030,9347,40505,18093
