DATASET_TITLE,"Income: Model-Based Estimates at MSOA Level, 2004/05"
GEO_HIERARCHY,NeSS Geography Hierarchy


AREA_NAME,AREA_CODE,FROM,TO,HEADING,FOOTNOTE_NUMBER,FOOTNOTE_TEXT
