DATASET_TITLE,Age (UV04),,,,,,,,FROM,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001
AREA_TYPE,Country,,,,,,,,TO,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,,,HEADING,All People,Aged under 1 year,Aged 1 year,Aged 2 years,Aged 3 years,Aged 4 years,Aged 5 years,Aged 6 years,Aged 7 years,Aged 8 years,Aged 9 years,Aged 10 years,Aged 11 years,Aged 12 years,Aged 13 years,Aged 14 years,Aged 15 years,Aged 16 years,Aged 17 years,Aged 18 years,Aged 19 years,Aged 20 years,Aged 21 years,Aged 22 years,Aged 23 years,Aged 24 years,Aged 25 years,Aged 26 years,Aged 27 years,Aged 28 years,Aged 29 years,Aged 30 years,Aged 31 years,Aged 32 years,Aged 33 years,Aged 34 years,Aged 35 years,Aged 36 years,Aged 37 years,Aged 38 years,Aged 39 years,Aged 40 years,Aged 41 years,Aged 42 years,Aged 43 years,Aged 44 years,Aged 45 years,Aged 46 years,Aged 47 years,Aged 48 years,Aged 49 years,Aged 50 years,Aged 51 years,Aged 52 years,Aged 53 years,Aged 54 years,Aged 55 years,Aged 56 years,Aged 57 years,Aged 58 years,Aged 59 years,Aged 60 years,Aged 61 years,Aged 62 years,Aged 63 years,Aged 64 years,Aged 65 years,Aged 66 years,Aged 67 years,Aged 68 years,Aged 69 years,Aged 70 years,Aged 71 years,Aged 72 years,Aged 73 years,Aged 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 to 89 years,Aged 90 to 94 years,Aged 95 to 99 years,Aged 100 years and over
,,,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count
,,,,,,,,,STATISTICAL_UNIT,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons
UK_CODE,UK_NAME,GB_CODE,GB_NAME,EW_CODE,EW_NAME,CTRY_CODE,CTRY_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"213","United Kingdom","078","Great Britain","727","England and Wales","064","England",,,49138831,554460,574428,587635,596726,612989,604631,608575,625462,630665,653196,661291,646996,640717,650842,629201,623767,629445,601821,590850,586721,614403,611506,588649,564695,573466,592740,619548,642742,687806,725824,743517,733446,760002,763358,785288,787124,791661,782799,769653,749776,730588,701571,690494,681359,656875,634240,619926,627116,617653,612630,617394,639113,659638,715481,751071,577525,596512,575598,548342,487454,462708,491823,487196,481809,468294,454008,439446,420079,419937,420553,418979,404735,387853,370943,366308,1645194,1105941,637701,249874,58401,8048
"213","United Kingdom","078","Great Britain","727","England and Wales","220","Wales",,,2903085,31780,32110,33494,34597,35922,35467,35753,36929,37780,39396,39573,38649,39453,39517,38784,37951,39079,36155,35869,35650,38196,37815,33388,29953,30141,30187,31247,32460,34907,37547,38822,38270,40195,39834,41189,41917,42991,43005,42342,41916,40746,38996,39043,38790,37906,36465,36095,37621,37293,37014,38111,39919,40778,44337,45201,35592,37238,36207,35425,32380,30767,31062,30824,30584,29687,29035,28509,27149,27072,26694,26822,25983,24956,23716,24255,109829,72373,38977,15306,3586,512
