DATASET_TITLE,"Domestic Energy Consumption, 2011",,,,,,FROM,Jan-2011,Jan-2011,Jan-2011,Jan-2011,Jan-2011,Jan-2011,Jan-2011,Jan-2011,Jan-2011,Jan-2011
AREA_TYPE,Local Authority,,,,,,TO,Dec-2011,Dec-2011,Dec-2011,Dec-2011,Dec-2011,Dec-2011,Dec-2011,Dec-2011,Dec-2011,Dec-2011
GEO_HIERARCHY,2001 Statistical Geography Hierarchy,,,,,,HEADING,Total Consumption of Domestic Electricity and Gas,Consumption of Ordinary Domestic Electricity,Consumption of Economy 7 Domestic Electricity,Consumption of Domestic Gas,Number of Ordinary Domestic Electricity meters,Average Consumption of Ordinary Domestic Electricity,Number of Economy 7 Domestic Electricity meters,Average Consumption of Economy 7 Domestic Electricity,Number of Domestic Gas meters,Average Consumption of Domestic Gas
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Average,Count,Average,Count,Average
,,,,,,,STATISTICAL_UNIT,Megawatt Hours,Megawatt Hours,Megawatt Hours,Megawatt Hours,Meter Points,Kilowatt Hours,Meter Points,Kilowatt Hours,Meter Points,Kilowatt Hours
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"E12000001","North East",,,"E06000001","Hartlepool",,,676419,126260,12172,537986,37738,3346,2412,5047,39063,13772
"E12000001","North East",,,"E06000002","Middlesbrough",,,1000456,185795,21208,793453,54716,3396,4527,4685,57003,13920
"E12000001","North East",,,"E06000003","Redcar and Cleveland",,,1014910,196520,21944,796446,57688,3407,4402,4985,57978,13737
"E12000001","North East",,,"E06000004","Stockton-on-Tees",,,1418775,270588,22362,1125825,77028,3513,4684,4774,78448,14351
"E12000001","North East",,,"E06000005","Darlington",,,833579,155697,22498,655383,44918,3466,4249,5295,44887,14601
