DATASET_TITLE,Number of People Living in Households (UV51),,,,,,FROM,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001
AREA_TYPE,Local Authority,,,,,,TO,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,HEADING,All Occupied Household Spaces,1 person living in Household,2 people living in Household,3 people living in Household,4 people living in Household,5 people living in Household,6 people living in Household,7 people living in Household,8 or more people living in Household
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Count,Count,Count,Count
,,,,,,,STATISTICAL_UNIT,Households,Households,Households,Households,Households,Households,Households,Households,Households
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"E","East Midlands","17","Derbyshire","17UC","Bolsover",,,30248,8236,11158,5263,3919,1265,308,71,28
"E","East Midlands","17","Derbyshire","17UD","Chesterfield",,,43462,13814,15295,6756,5534,1604,367,64,28
"E","East Midlands","17","Derbyshire","17UF","Derbyshire Dales",,,29059,8101,10947,4338,3982,1281,333,59,18
"E","East Midlands","17","Derbyshire","17UG","Erewash",,,46224,12793,16728,7606,6409,1999,549,101,39
"E","East Midlands","17","Derbyshire","17UH","High Peak",,,37059,10061,13307,5870,5479,1801,417,91,33
"E","East Midlands","17","Derbyshire","17UJ","North East Derbyshire",,,40693,10688,15192,6877,5943,1550,348,71,24
"E","East Midlands","17","Derbyshire","17UK","South Derbyshire",,,32995,8211,12054,5642,5051,1611,330,68,28
"E","East Midlands","31","Leicestershire","31UB","Blaby",,,35908,8259,13607,5841,5787,1880,377,102,55
"E","East Midlands","31","Leicestershire","31UC","Charnwood",,,60472,16075,21522,9733,9177,2964,700,191,110
"E","East Midlands","31","Leicestershire","31UD","Harborough",,,30849,7396,11826,4814,4782,1633,308,59,31
"E","East Midlands","31","Leicestershire","31UE","Hinckley and Bosworth",,,41085,10101,15405,6961,6173,1916,383,100,46
"E","East Midlands","31","Leicestershire","31UG","Melton",,,19615,4878,7503,3043,2968,931,211,59,22
"E","East Midlands","31","Leicestershire","31UH","North West Leicestershire",,,35394,9138,13094,5917,5128,1646,329,109,33
"E","East Midlands","31","Leicestershire","31UJ","Oadby and Wigston",,,21922,5714,7884,3404,3269,1176,328,88,59
"E","East Midlands","32","Lincolnshire","32UB","Boston",,,23989,6912,9360,3526,2904,914,302,41,30
"E","East Midlands","32","Lincolnshire","32UC","East Lindsey",,,55533,14921,23421,7646,6303,2250,740,144,108
"E","East Midlands","32","Lincolnshire","32UD","Lincoln",,,36643,11937,12550,5442,4365,1538,620,114,77
"E","East Midlands","32","Lincolnshire","32UE","North Kesteven",,,38870,9661,15734,5856,5504,1612,398,68,37
"E","East Midlands","32","Lincolnshire","32UF","South Holland",,,32752,8394,13851,4889,3902,1204,412,69,31
"E","East Midlands","32","Lincolnshire","32UG","South Kesteven",,,51494,13326,19374,8183,7482,2343,642,104,40
"E","East Midlands","32","Lincolnshire","32UH","West Lindsey",,,32872,8289,12956,5136,4512,1411,464,67,37
"E","East Midlands","34","Northamptonshire","34UB","Corby",,,22013,6199,7437,3781,3082,1121,327,50,16
"E","East Midlands","34","Northamptonshire","34UC","Daventry",,,28747,6788,10993,4654,4448,1446,340,56,22
"E","East Midlands","34","Northamptonshire","34UD","East Northamptonshire",,,31244,8054,11732,4972,4541,1502,346,68,29
"E","East Midlands","34","Northamptonshire","34UE","Kettering",,,34442,9621,12585,5501,4680,1560,385,75,35
"E","East Midlands","34","Northamptonshire","34UF","Northampton",,,80822,24082,27604,12848,10677,4176,1023,258,154
"E","East Midlands","34","Northamptonshire","34UG","South Northamptonshire",,,31716,7429,11794,5195,5059,1773,397,39,30
"E","East Midlands","34","Northamptonshire","34UH","Wellingborough",,,30082,8473,10557,4881,4147,1521,373,87,43
"E","East Midlands","37","Nottinghamshire","37UB","Ashfield",,,46600,12559,17063,7944,6521,1898,462,103,50
"E","East Midlands","37","Nottinghamshire","37UC","Bassetlaw",,,44690,12045,16838,7166,6278,1856,390,79,38
"E","East Midlands","37","Nottinghamshire","37UD","Broxtowe",,,45445,12550,16980,6944,6352,2001,503,83,32
"E","East Midlands","37","Nottinghamshire","37UE","Gedling",,,47556,13289,17618,7567,6505,2064,384,90,39
"E","East Midlands","37","Nottinghamshire","37UF","Mansfield",,,41601,11779,15008,6887,5568,1817,402,91,49
"E","East Midlands","37","Nottinghamshire","37UG","Newark and Sherwood",,,44465,11933,16871,6899,6169,2058,417,77,41
"E","East Midlands","37","Nottinghamshire","37UJ","Rushcliffe",,,43670,11923,16172,6375,6425,2073,573,92,37
"F","West Midlands",,,"00CN","Birmingham",,,390792,129701,114019,57623,48031,23848,10904,3324,3342
"F","West Midlands",,,"00CQ","Coventry",,,122353,38312,38528,19178,16108,6643,2766,488,330
"F","West Midlands",,,"00CR","Dudley",,,124988,33806,43134,21657,18160,5926,1562,452,291
