DATASET_TITLE,"Income: Model-Based Estimates at Ward Level, 2001/02"
GEO_HIERARCHY,2003 Administrative Hierarchy


AREA_NAME,AREA_CODE,FROM,TO,HEADING,FOOTNOTE_NUMBER,FOOTNOTE_TEXT
