DATASET_TITLE,"Domestic Energy Consumption, 2005",,,,,,FROM,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005
AREA_TYPE,Local Authority,,,,,,TO,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005
GEO_HIERARCHY,2001 Statistical Geography Hierarchy,,,,,,HEADING,Total Consumption of Domestic Electricity and Gas,Consumption of Ordinary Domestic Electricity,Consumption of Economy 7 Domestic Electricity,Consumption of Domestic Gas,Number of Ordinary Domestic Electricity meters,Average Consumption of Ordinary Domestic Electricity,Number of Economy 7 Domestic Electricity meters,Average Consumption of Economy 7 Domestic Electricity,Number of Domestic Gas meters,Average Consumption of Domestic Gas
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Average,Count,Average,Count,Average
,,,,,,,STATISTICAL_UNIT,Megawatt Hours,Megawatt Hours,Megawatt Hours,Megawatt Hours,Meter Points,Kilowatt Hours,Meter Points,Kilowatt Hours,Meter Points,Kilowatt Hours
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"E12000002","North West",,,"E08000006","Salford",,,2084063,339638,91654,1652772,85357,3979,11617,7890,89847,18395
"E12000002","North West",,,"E08000007","Stockport",,,3034101,458052,93451,2482599,104744,4373,12297,7599,114176,21744
"E12000002","North West",,,"E08000008","Tameside",,,2122491,340084,50687,1731721,83760,4060,6694,7572,91819,18860
"E12000002","North West",,,"E08000009","Trafford",,,2325747,358428,65802,1901518,81141,4417,8972,7334,87813,21654
"E12000002","North West",,,"E08000010","Wigan",,,2895732,465975,78631,2351126,115155,4046,9943,7908,126741,18551
"E12000002","North West",,,"E08000011","Knowsley",,,1328737,255251,16278,1057208,61360,4160,2106,7729,60482,17480
"E12000002","North West",,,"E08000012","Liverpool",,,4124941,772160,94027,3258754,194193,3976,11547,8143,186829,17442
"E12000002","North West",,,"E08000013","St. Helens",,,1676874,283320,19191,1374364,72145,3927,2743,6996,74672,18405
"E12000002","North West",,,"E08000014","Sefton",,,2832322,483109,58484,2290728,115273,4191,7570,7726,113861,20119
"E12000002","North West",,,"E08000015","Wirral",,,3247963,555507,63127,2629328,136152,4080,8996,7017,134018,19619
"E12000003","Yorkshire and The Humber",,,"E06000010","Kingston upon Hull, City of",,,2237952,392208,92990,1752754,105270,3726,13215,7037,104946,16701
"E12000003","Yorkshire and The Humber",,,"E06000011","East Riding of Yorkshire",,,3031245,556712,131266,2343267,129898,4286,16513,7949,117788,19894
"E12000003","Yorkshire and The Humber",,,"E06000012","North East Lincolnshire",,,1508350,266455,33035,1208860,65872,4045,4753,6950,66961,18053
"E12000003","Yorkshire and The Humber",,,"E06000013","North Lincolnshire",,,1503967,269045,36593,1198328,65779,4090,4702,7782,61167,19591
"E12000003","Yorkshire and The Humber",,,"E06000014","York",,,1770364,285843,70638,1413882,73792,3874,11538,6122,74299,19030
"E12000003","Yorkshire and The Humber","E10000023","North Yorkshire","E07000163","Craven",,,514648,90536,37070,387042,21016,4308,3800,9755,19211,20147
"E12000003","Yorkshire and The Humber","E10000023","North Yorkshire","E07000164","Hambleton",,,628843,143631,49852,435360,31570,4550,6599,7555,21755,20012
"E12000003","Yorkshire and The Humber","E10000023","North Yorkshire","E07000165","Harrogate",,,1505170,267797,70920,1166453,59651,4489,9105,7789,54034,21587
"E12000003","Yorkshire and The Humber","E10000023","North Yorkshire","E07000166","Richmondshire",,,351817,76372,37752,237693,17521,4359,4739,7966,11431,20794
"E12000003","Yorkshire and The Humber","E10000023","North Yorkshire","E07000167","Ryedale",,,352762,84029,39453,229280,18819,4465,4777,8259,11913,19246
"E12000003","Yorkshire and The Humber","E10000023","North Yorkshire","E07000168","Scarborough",,,1087679,176816,67086,843777,45430,3892,9905,6773,43540,19379
"E12000003","Yorkshire and The Humber","E10000023","North Yorkshire","E07000169","Selby",,,615901,126443,45720,443737,28040,4509,5827,7846,23186,19138
"E12000003","Yorkshire and The Humber",,,"E08000016","Barnsley",,,2225211,362992,20291,1841928,98035,3703,2756,7362,94010,19593
"E12000003","Yorkshire and The Humber",,,"E08000017","Doncaster",,,2828302,481171,38026,2309105,122865,3916,5440,6990,118531,19481
"E12000003","Yorkshire and The Humber",,,"E08000018","Rotherham",,,2496426,403433,31307,2061686,105490,3824,4550,6881,103581,19904
"E12000003","Yorkshire and The Humber",,,"E08000019","Sheffield",,,5153228,809663,95845,4247720,216458,3741,15031,6376,214434,19809
"E12000003","Yorkshire and The Humber",,,"E08000032","Bradford",,,4786549,766387,132712,3887450,184662,4150,18721,7089,185977,20903
"E12000003","Yorkshire and The Humber",,,"E08000033","Calderdale",,,2056361,339257,61236,1655869,81827,4146,8261,7413,82227,20138
"E12000003","Yorkshire and The Humber",,,"E08000034","Kirklees",,,4031450,657870,89318,3284262,161168,4082,12808,6974,163698,20063
"E12000003","Yorkshire and The Humber",,,"E08000035","Leeds",,,7083406,1189050,291531,5602825,288280,4125,41981,6944,289827,19332
"E12000003","Yorkshire and The Humber",,,"E08000036","Wakefield",,,3058062,503738,81460,2472864,131936,3818,10604,7682,127454,19402
"E12000004","East Midlands",,,"E06000015","Derby",,,2146317,173646,273554,1699117,49976,3475,55613,4919,96535,17601
"E12000004","East Midlands",,,"E06000016","Leicester",,,2678450,263511,222010,2192929,77260,3411,48601,4568,112585,19478
"E12000004","East Midlands",,,"E06000017","Rutland",,,319429,26270,57294,235865,6315,4160,9079,6311,11197,21065
"E12000004","East Midlands",,,"E06000018","Nottingham",,,2547392,280793,247878,2018721,81353,3452,50249,4933,112308,17975
